filename,item,condition,alpha,ink_total,ink_normalised,n_pixels
43B.png,43,B,0.5,11438.807843137254,0.008918758980611553,1282556
43C.png,43,C,0.75,16626.223529411764,0.012963350940942727,1282556
43D.png,43,D,1,21627,0.016862421601863763,1282556
44A.png,44,A,0.25,5836.286274509804,0.004550511848613075,1282556
44B.png,44,B,0.5,11293.176470588236,0.008805211211509052,1282556
44C.png,44,C,0.75,16325.03137254902,0.01272851350938991,1282556
44D.png,44,D,1,21130,0.016474914155795134,1282556
45A.png,45,A,0.25,5728.521568627451,0.004466488456353928,1282556
45B.png,45,B,0.5,10890.729411764705,0.008491426036574384,1282556
45C.png,45,C,0.75,15484.043137254903,0.012072800826829306,1282556
45D.png,45,D,1,19726,0.015380225112977507,1282556
4A.png,4,A,0.25,5982.101960784314,0.004664203325846429,1282556
4B.png,4,B,0.5,11849.411764705883,0.00923890400474198,1282556
4C.png,4,C,0.75,17511.427450980394,0.013653538286811947,1282556
4D.png,4,D,1,23150,0.018049894117683738,1282556
5A.png,5,A,0.25,5982.36862745098,0.004664411243993237,1282556
5B.png,5,B,0.5,11850.290196078431,0.009239588911578486,1282556
5C.png,5,C,0.75,17512.97254901961,0.01365474298901532,1282556
5D.png,5,D,1,23152,0.018051453503784672,1282556
6A.png,6,A,0.25,5977.788235294118,0.004660839944060247,1282556
6B.png,6,B,0.5,11831.96862745098,0.009225303711846525,1282556
6C.png,6,C,0.75,17472.03529411765,0.013622824495864204,1282556
6D.png,6,D,1,23079,0.017994535911102564,1282556
7A.png,7,A,0.25,5980.172549019608,0.0046626989769020565,1282556
7B.png,7,B,0.5,11841.505882352942,0.009232739843213858,1282556
7C.png,7,C,0.75,17493.34509803922,0.013639439601888084,1282556
7D.png,7,D,1,23117,0.018024164247019303,1282556
8A.png,8,A,0.25,5984,0.00466568321383236,1282556
8B.png,8,B,0.5,11856.815686274509,0.009244676790935033,1282556
8C.png,8,C,0.75,17527.552941176473,0.013666111219452774,1282556
8D.png,8,D,1,23178,0.018071725523096036,1282556
9A.png,9,A,0.25,5983.498039215686,0.0046652918384972476,1282556
9B.png,9,B,0.5,11854.807843137254,0.00924311128959459,1282556
9C.png,9,C,0.75,17523.06666666667,0.013662613302395082,1282556
9D.png,9,D,1,23170,0.018065487978692535,1282556
